Age,AgeGroup,Attrition,Attrition_Flag,Department,Education,EducationLevel,JobRole_Clean,Gender,MaritalStatus_Clean,Monthly Income,MonthlyIncome_Lakhs,SalaryBand,OverTime_Flag,Percent Salary Hike,Performance Rating,PerformanceRating_Clean,HighPerformer,Total Working Years,Years At Company,TenureGroup,LongTenure,NewHire,Work Life Balance,WorkLifeBalance_Level,GoodWorkLife,PoorWorkLife,Stock Option Level,HasStockOptions,Num Companies Worked,Distance From Home,AvgSatisfaction,HighSatisfaction,LowSatisfaction,HighInvolvement,LowInvolvement,HighPaid,LowPaid,EmploymentStatus
41,36-45,Yes,1,Sales,Associates Degree,,Sales Executive,Female,Single,5993,0.05993,<20K,1,11,3,Fully Meets,0,8,6,5-10 years,1,0,1,Bad,0,1,0,0,8,1,2.3333333333333335,0,0,1,0,0,1,Ex-Employee
49,46-55,No,0,R&D,High School,,Research Scientist,Male,Married,5130,0.0513,<20K,0,23,4,Exceeds,1,10,10,10-15 years,1,0,3,Good,1,0,1,1,1,8,3.0,0,0,0,1,0,1,Current
37,36-45,Yes,1,R&D,Associates Degree,,Laboratory Technician,Male,Single,2090,0.0209,<20K,1,15,3,Fully Meets,0,7,0,<1 year,0,1,3,Good,1,0,0,0,6,2,3.0,0,0,0,1,0,1,Ex-Employee
33,26-35,No,0,R&D,Master's Degree,,Research Scientist,Female,Married,2909,0.02909,<20K,1,11,3,Fully Meets,0,8,8,5-10 years,1,0,3,Good,1,0,0,0,1,3,3.3333333333333335,1,0,1,0,0,1,Current
27,26-35,No,0,R&D,High School,,Laboratory Technician,Male,Married,3468,0.03468,<20K,0,12,3,Fully Meets,0,6,2,1-3 years,0,0,3,Good,1,0,1,1,9,2,2.3333333333333335,0,0,1,0,0,1,Current
32,26-35,No,0,R&D,Associates Degree,,Laboratory Technician,Male,Single,3068,0.03068,<20K,0,13,3,Fully Meets,0,8,7,5-10 years,1,0,2,Average,0,1,0,0,0,2,3.6666666666666665,1,0,1,0,0,1,Current
59,56-65,No,0,R&D,Bachelor's Degree,,Laboratory Technician,Female,Married,2670,0.0267,<20K,1,20,4,Exceeds,1,12,1,1-3 years,0,0,2,Average,0,1,3,1,4,3,1.6666666666666667,0,1,1,0,0,1,Current
30,26-35,No,0,R&D,High School,,Laboratory Technician,Male,Divorced,2693,0.02693,<20K,0,22,4,Exceeds,1,1,1,1-3 years,0,0,3,Good,1,0,1,1,1,24,3.0,0,0,1,0,0,1,Current
38,36-45,No,0,R&D,Bachelor's Degree,,Manufacturing Director,Male,Single,9526,0.09526,<20K,0,21,4,Exceeds,1,10,9,5-10 years,1,0,3,Good,1,0,0,0,0,23,3.0,0,0,0,1,0,1,Current
36,36-45,No,0,R&D,Bachelor's Degree,,Healthcare Representative,Male,Married,5237,0.05237,<20K,0,13,3,Fully Meets,0,17,7,5-10 years,1,0,2,Average,0,1,2,1,6,27,2.6666666666666665,0,0,1,0,0,1,Current
